[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] Swarm MPCIE (MPCIE) Bootloader
[2022-08-28 09:09:26.393] Copyright (c) 2019-22 Swarm Technologies, Inc
[2022-08-28 09:12:51.152] $RT RSSI=-112*1f
[2022-08-28 09:12:53.248] $RT RSSI=-113*1e
[2022-08-28 09:12:53.250] $GN @*69
[2022-08-28 09:12:53.250] $RT RSSI=-113*1e
[2022-08-28 09:12:54.151] $RT RSSI=-113*1e
[2022-08-28 09:12:55.151] $RT RSSI=-112*1f
[2022-08-28 09:12:56.151] $RT RSSI=-112*1f
[2022-08-28 09:12:57.152] $RT RSSI=-113*1e
[2022-08-28 09:12:58.152] $RT RSSI=-112*1f
[2022-08-28 09:12:59.152] $RT RSSI=-113*1e
[2022-08-28 09:13:00.151] $RT RSSI=-113*1e
[2022-08-28 09:13:01.151] $RT RSSI=-112*1f
[2022-08-28 09:13:02.152] $RT RSSI=-112*1f
[2022-08-28 09:13:03.151] $RT RSSI=-113*1e
[2022-08-28 09:13:04.151] $RT RSSI=-113*1e
[2022-08-28 09:13:05.151] $RT RSSI=-112*1f
[2022-08-28 09:13:06.151] $RT RSSI=-113*1e
[2022-08-28 09:13:07.151] $RT RSSI=-112*1f
[2022-08-28 09:13:08.151] $RT RSSI=-113*1e
[2022-08-28 09:13:09.151] $RT RSSI=-113*1e
[2022-08-28 09:13:10.152] $RT RSSI=-112*1f
[2022-08-28 09:13:11.908] $RT RSSI=-113*1e
[2022-08-28 09:13:11.910] $GN @*69
[2022-08-28 09:13:12.151] $RT RSSI=-113*1e
[2022-08-28 09:13:13.151] $RT RSSI=-112*1f
[2022-08-28 09:13:14.151] $RT RSSI=-113*1e
[2022-08-28 09:13:15.151] $RT RSSI=-113*1e
[2022-08-28 09:13:16.151] $RT RSSI=-113*1e
[2022-08-28 09:13:17.153] $RT RSSI=-113*1e
[2022-08-28 09:13:18.151] $RT RSSI=-113*1e
[2022-08-28 09:13:19.151] $RT RSSI=-112*1f
[2022-08-28 09:13:20.151] $RT RSSI=-113*1e
[2022-08-28 09:13:21.151] $RT RSSI=-113*1e
[2022-08-28 09:13:22.151] $RT RSSI=-112*1f
[2022-08-28 09:13:23.151] $RT RSSI=-113*1e
[2022-08-28 09:13:24.152] $RT RSSI=-113*1e
[2022-08-28 09:13:25.151] $RT RSSI=-112*1f
[2022-08-28 09:13:26.151] $RT RSSI=-113*1e
[2022-08-28 09:13:27.155] $RT RSSI=-113*1e
[2022-08-28 09:13:28.153] $RT RSSI=-112*1f
[2022-08-28 09:13:29.153] $RT RSSI=-112*1f
[2022-08-28 09:13:30.151] $RT RSSI=-113*1e
[2022-08-28 09:13:31.153] $RT RSSI=-112*1f
[2022-08-28 09:13:32.153] $RT RSSI=-112*1f
[2022-08-28 09:13:33.152] $RT RSSI=-112*1f
[2022-08-28 09:13:34.153] $RT RSSI=-113*1e
[2022-08-28 09:13:35.153] $RT RSSI=-113*1e
[2022-08-28 09:13:36.151] $RT RSSI=-112*1f
[2022-08-28 09:13:37.151] $RT RSSI=-112*1f
[2022-08-28 09:13:38.151] $RT RSSI=-113*1e
[2022-08-28 09:13:39.151] $RT RSSI=-113*1e
[2022-08-28 09:13:40.151] $RT RSSI=-113*1e
[2022-08-28 09:13:41.151] $RT RSSI=-112*1f
[2022-08-28 09:13:42.152] $RT RSSI=-113*1e
[2022-08-28 09:13:43.151] $RT RSSI=-113*1e
[2022-08-28 09:13:44.151] $RT RSSI=-113*1e
[2022-08-28 09:13:45.150] $RT RSSI=-113*1e
[2022-08-28 09:13:46.150] $RT RSSI=-113*1e
[2022-08-28 09:13:47.150] $RT RSSI=-113*1e
[2022-08-28 09:13:48.151] $RT RSSI=-113*1e
[2022-08-28 09:13:49.152] $RT RSSI=-113*1e
[2022-08-28 09:13:50.151] $RT RSSI=-113*1e
[2022-08-28 09:13:52.092] $RT RSSI=-112*1f
[2022-08-28 09:13:52.094] $GP ?*08
[2022-08-28 09:13:52.097] $GP 0*07
[2022-08-28 09:13:52.151] $RT RSSI=-113*1e
[2022-08-28 09:13:53.151] $RT RSSI=-113*1e
[2022-08-28 09:13:54.151] $RT RSSI=-113*1e
[2022-08-28 09:13:55.151] $RT RSSI=-112*1f
[2022-08-28 09:13:56.151] $RT RSSI=-113*1e
[2022-08-28 09:13:57.151] $RT RSSI=-113*1e
[2022-08-28 09:13:58.151] $RT RSSI=-113*1e
[2022-08-28 09:13:59.151] $RT RSSI=-113*1e
[2022-08-28 09:14:00.153] $RT RSSI=-113*1e
[2022-08-28 09:14:01.151] $RT RSSI=-112*1f
[2022-08-28 09:14:02.151] $RT RSSI=-113*1e
[2022-08-28 09:14:03.151] $RT RSSI=-112*1f
[2022-08-28 09:14:04.151] $RT RSSI=-113*1e
[2022-08-28 09:14:05.151] $RT RSSI=-113*1e
[2022-08-28 09:14:06.151] $RT RSSI=-113*1e
[2022-08-28 09:14:07.152] $RT RSSI=-113*1e
[2022-08-28 09:14:08.151] $RT RSSI=-112*1f
[2022-08-28 09:14:09.151] $RT RSSI=-113*1e
[2022-08-28 09:14:10.151] $RT RSSI=-113*1e
[2022-08-28 09:14:11.151] $RT RSSI=-113*1e
[2022-08-28 09:14:12.151] $RT RSSI=-112*1f
[2022-08-28 09:14:13.151] $RT RSSI=-113*1e
[2022-08-28 09:14:14.151] $RT RSSI=-113*1e
[2022-08-28 09:14:15.151] $RT RSSI=-113*1e
[2022-08-28 09:14:16.151] $RT RSSI=-113*1e
[2022-08-28 09:14:17.150] $RT RSSI=-112*1f
[2022-08-28 09:14:18.151] $RT RSSI=-112*1f
[2022-08-28 09:14:19.150] $RT RSSI=-112*1f
[2022-08-28 09:14:20.151] $RT RSSI=-113*1e
[2022-08-28 09:14:21.151] $RT RSSI=-112*1f
[2022-08-28 09:14:22.150] $RT RSSI=-112*1f
[2022-08-28 09:14:23.388] $RT RSSI=-113*1e
[2022-08-28 09:14:23.389] $GS @*74
[2022-08-28 09:14:24.151] $RT RSSI=-112*1f
[2022-08-28 09:14:25.151] $RT RSSI=-112*1f
[2022-08-28 09:14:26.151] $RT RSSI=-113*1e
[2022-08-28 09:14:27.151] $RT RSSI=-112*1f
[2022-08-28 09:14:28.151] $RT RSSI=-112*1f
[2022-08-28 09:14:29.151] $RT RSSI=-113*1e
[2022-08-28 09:14:30.151] $RT RSSI=-113*1e
[2022-08-28 09:14:31.151] $RT RSSI=-113*1e
[2022-08-28 09:14:32.150] $RT RSSI=-112*1f
[2022-08-28 09:14:33.150] $RT RSSI=-113*1e
[2022-08-28 09:14:34.150] $RT RSSI=-113*1e
[2022-08-28 09:14:35.150] $RT RSSI=-112*1f
[2022-08-28 09:14:36.150] $RT RSSI=-113*1e
[2022-08-28 09:14:37.150] $RT RSSI=-112*1f
[2022-08-28 09:14:38.151] $RT RSSI=-112*1f
[2022-08-28 09:14:39.151] $RT RSSI=-113*1e
[2022-08-28 09:14:40.150] $RT RSSI=-112*1f
[2022-08-28 09:14:41.150] $RT RSSI=-113*1e
[2022-08-28 09:14:42.150] $RT RSSI=-112*1f
[2022-08-28 09:14:43.150] $RT RSSI=-113*1e
[2022-08-28 09:14:44.150] $RT RSSI=-113*1e
